Evaluation for 2024-06-30

=== Predictions by Race ===
Fixture 1 Race 1:
Horse | ModelProb | SPOdds
  Fidelius (GB) | 0.1973 | 0.0526
  Smooth Silesie (IRE) | 0.1924 | 0.0385
  Diligent Henry (GB) | 0.1650 | 0.0244
  Kinnigoli Kid (IRE) | 0.1911 | 0.0667
  Via Blanca (GB) | 0.1125 | 0.2000
  Hint of The Jungle (IRE) | 0.0591 | 0.0769

Fixture 1 Race 2:
Horse | ModelProb | SPOdds
  Rogue King (IRE) | 0.0843 | 0.2000
  All Greek To Me (GB) | 0.1280 | 0.0769
  Implacable (IRE) | 0.0451 | 0.1111
  Warbler (GB) | 0.0919 | 0.0909
  Bradman (GB) | 0.1016 | 0.0588
  Normandy Vista (IRE) | 0.1218 | 0.0769

Fixture 1 Race 3:
Horse | ModelProb | SPOdds
  Umbria (GER) | 0.1258 | 0.1000
  Star Time (GB) | 0.0709 | 0.0294
  Who's Glen (FR) | 0.0537 | 0.3333
  Ribba Hill (IRE) | 0.0926 | 0.0909
  Something (GB) | 0.0926 | 0.0588
  Indian Romance (IRE) | 0.0747 | 0.0066
  Joolianoss (IRE) | 0.1958 | 0.0435
  Shady Bay (IRE) | 0.1604 | 0.0294
  Edwardtheninth (GB) | 0.1161 | 0.1000
  Capital Love (GB) | 0.0633 | 0.0033
  City Waters (GB) | 0.0685 | 0.0033
  Run of Luck (GB) | 0.1029 | 0.0099
  Amserda (GB) | 0.1161 | 0.0050

Fixture 1 Race 4:
Horse | ModelProb | SPOdds
  Bakersboy (GB) | 0.0367 | 0.0588
  Warrior Square (GB) | 0.0940 | 0.0385
  City Escape (IRE) | 0.1376 | 0.0526
  Red Dwarf (IRE) | 0.1261 | 0.0667
  High Court Judge (USA) | 0.0691 | 0.2500
  Wallaroo (IRE) | 0.0751 | 0.0769
  Meng Tian (GB) | 0.0787 | 0.0588
  Prince Hector (IRE) | 0.1520 | 0.0769
  Garden View (IRE) | 0.0886 | 0.1000
  Starshot (IRE) | 0.0863 | 0.0435
  Pelissanne (FR) | 0.0572 | 0.0196
  Streetstorm (GB) | 0.0881 | 0.0149
  Dirty Barry (USA) | 0.0472 | 0.0149

Fixture 1 Race 5:
Horse | ModelProb | SPOdds
  Supaspecialawesome (IRE) | 0.0958 | 0.0588
  Atlantic Gamble (GB) | 0.0652 | 0.1000
  Little Heron (IRE) | 0.1088 | 0.0833
  Crimson Coronet (GB) | 0.0686 | 0.0769
  Rogue Soldier (IRE) | 0.0942 | 0.1667
  Star Mind (GB) | 0.1503 | 0.0476
  Orbital (GB) | 0.0726 | 0.1250
  Cerulean Summer (IRE) | 0.1215 | 0.0244
  Diffident Spirit (GB) | 0.0363 | 0.0667
  Equion (GB) | 0.0983 | 0.0667

Fixture 1 Race 6:
Horse | ModelProb | SPOdds
  Forgotten Treasure (GB) | 0.0519 | 0.1111
  Roman Princess (GB) | 0.1104 | 0.0244
  Mintana (GB) | 0.1071 | 0.2500
  Sea The Buckthorn (GB) | 0.0863 | 0.2000
  Reve de Magritte (FR) | 0.1147 | 0.0833
  Outreach (GB) | 0.1016 | 0.3333
  Ishani (GB) | 0.1229 | 0.0244
  Red Walls (GB) | 0.1126 | 0.0909
